experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,eodds_max_age,10,0.12436824510418448,0.022510409596917247,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,eodds_max_race,10,0.04223807361130795,0.019958810899277698,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,fpr_age,10,0.12436824510418448,0.022510409596917247,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,fpr_race,10,0.03972229816219586,0.022679444855578313,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,sAOD,10,0.11470048259283847,0.022935341535953793,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,sDP,10,0.07145510342099555,0.030554561852497615,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,sEOD,10,0.08993747634145025,0.03401742573058533,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,sEOdds_max,10,0.15232330617015788,0.01880524800730657,lower
acs_intersectional_age_race,acs_employment,MD,reweight,behavior,sFPR,10,0.15232330617015788,0.01880524800730657,lower
acs_intersectional_age_race,acs_employment,MD,reweight,mechanism,D2age,10,0.3412681743502617,0.063843508214381,lower
acs_intersectional_age_race,acs_employment,MD,reweight,mechanism,D2ar,10,0.2479781463742256,0.09947312654846593,lower
acs_intersectional_age_race,acs_employment,MD,reweight,mechanism,D2race,10,0.17159036472439765,0.04762301360246381,lower
acs_intersectional_age_race,acs_employment,MD,reweight,mechanism,D3,10,0.2028394155204296,0.07043997433385185,lower
acs_intersectional_age_race,acs_employment,MD,reweight,mechanism,Gsub,10,0.5466487228870391,0.12298234259150667,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,accuracy,10,0.7103819321272319,0.0033435745401894997,higher
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,aod_age,10,0.033595601674339136,0.02652006456050922,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,aod_excess,10,0.08914784457499107,0.027126756903962337,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,aod_race,10,0.07623521516777532,0.015919095830788123,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,auc,10,0.7528487233653176,0.003222179882794581,higher
