"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","repair_main05",120,0.847374701009408,0.0151997613152179,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","repair_main0",120,0.846641384765941,0.0173474096433581,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","reweight",120,0.84596021431081,0.0247280258840198,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_accuracy","higher","wrong_spec",120,0.835471693676807,0.0210314568292448,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","erm",120,0.353688471369491,0.0242826586094347,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","adv",120,0.3554534092379,0.0263629407964235,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","blind",120,0.356787748556216,0.0264371028678116,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","score_only",120,0.358318571045654,0.0219869141763859,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","no_interaction",120,0.359641744519382,0.0213847542147553,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","repair_main05",120,0.361350759606608,0.0230518691580065,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","repair_main0",120,0.362861982714383,0.030261372743355,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","wrong_spec",120,0.368243109041015,0.0216059609880757,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_bce","lower","reweight",120,0.450487277211943,0.0443628325951641,5,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","repair_main05",120,0.0526561260223389,0.0162933773585915,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","repair_main0",120,0.0563992088039716,0.0176717632656964,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","reweight",120,0.0570591705540816,0.0308434472126871,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","no_interaction",120,0.0578784530361493,0.0242458139766392,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","score_only",120,0.0711163883407911,0.030332786625565,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","blind",120,0.10282836407423,0.0282125384406141,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","adv",120,0.137941555182139,0.032213504209003,5,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","erm",120,0.154135964314143,0.029765373882525,6,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_score_gap","lower","wrong_spec",120,0.197345291326443,0.0662200715255905,7,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","wrong_spec",120,0.0418809031446775,0.0310032335893372,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","repair_main05",120,0.0473341658711433,0.0218478070371205,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","repair_main0",120,0.0475275824467341,0.0210743665732546,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","no_interaction",120,0.0532410497466723,0.0286689041506249,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","blind",120,0.0535282065471013,0.0278792393663174,3,"ScottKnottESD","2.0.3"
